DEPARTAMENTO;ID_DEPARTAMENTO
COMUNA 1;02000
COMUNA 1;02001
COMUNA 2;02002
COMUNA 3;02003
COMUNA 4;02004
COMUNA 5;02005
COMUNA 6;02006
COMUNA 7;02007
COMUNA 8;02008
COMUNA 9;02009
COMUNA 10;02010
COMUNA 11;02011
COMUNA 12;02012
COMUNA 13;02013
COMUNA 14;02014
COMUNA 15;02015
Adolfo Alsina;06007
Adolfo Gonzales Chaves;06014
Alberti;06021
Almirante Brown;06028
Avellaneda;06035
Ayacucho;06042
Azul;06049
Bahía Blanca;06056
Quilmes;06058
Balcarce;06063
Baradero;06070
Arrecifes;06077
Benito Juárez;06084
Berazategui;06091
Berisso;06098
Bolívar;06105
Bragado;06112
Brandsen;06119
Campana;06126
Cañuelas;06134
Capitán Sarmiento;06140
Carlos Casares;06147
Carlos Tejedor;06154
Carmen de Areco;06161
Castelli;06168
Colón;06175
Coronel de Marina L. Rosales;06182
Coronel Dorrego;06189
Coronel Pringles;06196
Coronel Suárez;06203
Chacabuco;06210
Chascomús;06217
Chivilcoy;06224
Daireaux;06231
Dolores;06238
Ensenada;06245
Escobar;06252
Esteban Echeverría;06260
Exaltación de la Cruz;06266
Ezeiza;06270
Florencio Varela;06274
Florentino Ameghino;06277
General Alvarado;06280
General Alvear;06287
General Arenales;06294
General Belgrano;06301
General Guido;06308
General Juan Madariaga;06315
General La Madrid;06322
General Las Heras;06329
General Lavalle;06336
General Paz;06343
General Pinto;06351
General Pueyrredón;06357
General Rodríguez;06364
General San Martín;06371
General Viamonte;06385
General Villegas;06392
Guaminí;06399
Hipólito Yrigoyen;06406
Hurlingham;06408
Ituzaingó;06410
José C. Paz;06412
Junín;06413
La Costa;06420
La Matanza;06427
Lanús;06434
La Plata;06441
Laprida;06448
Las Flores;06455
Leandro N. Alem;06462
Lezama;06466
Lincoln;06469
Lobería;06476
Lobos;06483
Lomas de Zamora;06490
Luján;06497
Magdalena;06505
Maipú;06511
Malvinas Argentinas;06515
Mar Chiquita;06518
Marcos Paz;06525
Mercedes;06532
Merlo;06539
Monte;06547
Monte Hermoso;06553
Moreno;06560
Morón;06568
Navarro;06574
Necochea;06581
9 de Julio;06588
Olavarría;06595
Patagones;06602
Pehuajó;06609
Pellegrini;06616
Pergamino;06623
Pila;06630
Pilar;06638
"Pinamar ";06644
Presidente Perón;06648
Puán;06651
Punta Indio;06655
Quilmes;06658
Ramallo;06665
Rauch;06672
Rivadavia;06679
Rojas;06686
Roque Pérez;06693
Saavedra;06700
Saladillo;06707
Salto;06714
Salliqueló;06721
San Andrés de Giles;06728
San Antonio de Areco;06735
San Cayetano;06742
San Fernando;06749
San Isidro;06756
San Miguel;06760
San Nicolás;06763
San Pedro;06770
San Vicente;06778
Suipacha;06784
Tandil;06791
Tapalqué;06798
Tigre;06805
Tordillo;06812
Tornquist;06819
Trenque Lauquen;06826
Tres Arroyos;06833
Tres de Febrero;06840
"Tres Lomas ";06847
25 de Mayo;06854
Vicente López;06861
"Villa Gesell ";06868
Villarino;06875
"Zárate ";06882
Ambato;10007
Ancasti;10014
Andalgalá;10021
Antofagasta de la Sierra;10028
Belén;10035
Capayán;10042
Capital;10049
El Alto;10056
Fray Mamerto Esquiú;10063
La Paz;10070
Paclín;10077
Pomán;10084
Santa María;10091
Santa Rosa;10098
Tinogasta;10105
Valle Viejo;10112
Calamuchita;14007
Capital;14014
Colón;14021
Cruz del Eje;14028
General Roca;14035
General San Martín;14042
Ischilín;14049
Juárez Celman;14056
Marcos Juárez;14063
Minas;14070
Pocho;14077
Presidente Roque Sáenz Peña;14084
Punilla;14091
Río Cuarto;14098
Río Primero;14105
Río Seco;14112
Río Segundo;14119
San Alberto;14126
San Javier;14133
San Justo;14140
Santa María;14147
Sobremonte;14154
Tercero Arriba;14161
Totoral;14168
Tulumba;14175
Unión;14182
Bella Vista;18007
Berón de Astrada;18014
Capital;18021
Concepción;18028
Curuzú Cuatiá;18035
Empedrado;18042
Esquina;18049
General Alvear;18056
General Paz;18063
Goya;18070
Itatí;18077
Ituzaingó;18084
Lavalle;18091
Mburucuyá;18098
Mercedes;18105
Monte Caseros;18112
Paso de los Libres;18119
Saladas;18126
San Cosme;18133
San Luis del Palmar;18140
San Martín;18147
San Miguel;18154
San Roque;18161
Santo Tomé;18168
Sauce;18175
Almirante Brown;22007
Bermejo;22014
Comandante Fernández;22021
Chacabuco;22028
12 de Octubre;22036
2 de Abril;22039
Fray Justo Santa María de Oro;22043
General Belgrano;22049
General Donovan;22056
General Güemes;22063
Independencia;22070
Libertad;22077
Libertador General San Martín;22084
Maipú;22091
Mayor Luis J. Fontana;22098
9 de Julio;22105
O'Higgins;22112
Presidencia de la Plaza;22119
1º de Mayo;22126
Quitilipi;22133
San Fernando;22140
San Lorenzo;22147
Sargento Cabral;22154
